# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = binsearch map insert
# Column 3 = array map insert
# Column 4 = hash map insert
# Column 5 = binsearch map erase
# Column 6 = array map erase
# Column 7 = hash map erase
# Column 8 = binsearch contains
# Column 9 = array map contains
# Column 10 = hash map contains
# Column 11 = binsearch find range
# Column 12 = array map find range
# Column 13 = hash map find range
# Column 14 = binsearch sorted keys
# Column 15 = array map sorted keys
# Column 16 = hash map sorted keys
# Column 17 = min chain length
# Column 18 = max chain length
# Column 19 = avg chain length
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 0 -nan
10000 0.05 0.00 0.00 0.05 0.06 0.03 0.00 0.06 0.05 0.00 0.07 0.08 1.23 1.35 1.24 0 10000 1.00
20000 0.10 0.00 0.00 0.11 0.12 0.06 0.00 0.13 0.10 0.00 0.15 0.15 2.56 2.79 2.62 0 20000 1.00
30000 0.13 0.00 0.00 0.14 0.19 0.08 0.00 0.19 0.18 0.00 0.21 0.25 3.77 4.11 3.90 0 30000 1.00
40000 0.17 0.00 0.00 0.18 0.25 0.13 0.00 0.26 0.20 0.00 0.28 0.32 5.38 5.72 5.34 0 40000 1.00
50000 0.17 0.00 0.00 0.18 0.26 0.11 0.00 0.28 0.29 0.02 0.30 0.38 5.66 6.13 5.88 0 50000 1.00
60000 0.19 0.00 0.00 0.20 0.32 0.14 0.00 0.32 0.31 0.00 0.41 0.43 7.71 7.40 7.00 0 60000 1.00
70000 0.20 0.00 0.00 0.22 0.37 0.18 0.00 0.38 0.33 0.02 0.44 0.49 8.08 8.75 8.29 0 70000 1.00
80000 0.22 0.00 0.00 0.23 0.41 0.22 0.00 0.42 0.34 0.12 0.50 0.53 9.33 10.14 9.54 0 80000 1.00
90000 0.22 0.00 0.00 0.24 0.47 0.25 0.00 0.48 0.36 0.03 0.59 0.57 10.54 11.32 10.79 0 90000 1.00
100000 0.23 0.00 0.00 0.24 0.52 0.24 0.00 0.54 0.60 0.04 0.61 0.74 11.79 12.86 12.05 0 100000 1.00
